Model,Accuracy,F1_Score,Time
Logistic Regreesion,0.7335680751173709,0.73349384209352,0.03137493133544922
Multinomial NB,0.7065727699530516,0.6884162859995744,0.004482269287109375
Decision Tree,0.607981220657277,0.6083605566099949,0.3575785160064697
KNN,0.6830985915492958,0.6804155195275137,0.12311482429504395
Random Forest,0.7147887323943662,0.7120230857732486,1.0944538116455078
Adaptive Boosting,0.6373239436619719,0.637835732320713,0.5664336681365967
