Model,Accuracy,F1_Score,Time
Logistic Regreesion,0.7288732394366197,0.7284325482779145,0.0019910335540771484
Multinomial NB,0.7112676056338029,0.6898773995171474,0.001794576644897461
Decision Tree,0.5774647887323944,0.5770848869440419,0.0026319026947021484
KNN,0.6214788732394366,0.6179817913686624,0.08124423027038574
Random Forest,0.7306338028169014,0.7277305669735072,0.029473304748535156
Adaptive Boosting,0.6514084507042254,0.6510950317288345,0.01621723175048828
